Time_seconds,EI_raw,EI_median,Blink,Delta_filt_avg_smoothed,Theta_filt_avg_smoothed,Alpha_filt_avg_smoothed,Beta_filt_avg_smoothed,Gamma_filt_avg_smoothed,Heart_Rate
488.6,1.696716829329625,1.696716829329625,0,4.8247342682702214,6.542862379217492,7.260407792260946,23.447313097187894,16.632486995990742,64.99927357378222
489.6,1.6982510888746254,1.6982510888746254,0,4.820197044069436,6.542862379217492,7.244427762441298,23.44659735600819,16.612632476505592,55.6285937954779
490.6,1.6999121972991327,1.6999121972991327,0,4.816129240019873,6.542862379217492,7.229180825570749,23.44659735600819,16.611558466461908,66.35938018570215
490.66,1.7017027111550853,1.7017027111550853,1,4.812529506958339,6.542862379217492,7.214687800733851,23.44659735600819,16.611558466461908,68.58357584444371
491.6,1.7036250180845893,1.7036250180845893,0,4.809393048513867,6.542862379217492,7.200967118518859,23.44659735600819,16.611558466461908,70.80777150318528
492.6,1.7056813251428335,1.7056813251428335,0,4.80671166633332,6.542862379217492,7.18803482125991,23.44659735600819,16.611558466461908,69.0500847333786
493.6,1.7078736481801802,1.7078736481801802,0,4.804473825528795,6.542862379217492,7.175904573724797,23.44659735600819,16.611558466461908,61.67508549319692
494.6,1.710203801959593,1.710203801959593,0,4.802834719783652,6.537193705177957,7.164587683798923,23.44659735600819,16.611558466461908,69.17180507521584
495.6,1.7126733906758582,1.7126733906758582,0,4.802834719783652,6.528955966794358,7.154093132535057,23.44659735600819,16.611558466461908,62.38625613923299
496.6,1.7152837985800533,1.7152837985800533,0,4.802834719783652,6.519460334832112,7.144427612645998,23.44659735600819,16.611558466461908,73.12576200759268
497.6,1.7180361804700717,1.7180361804700717,0,4.802834719783652,6.508723611497472,7.135595574259209,23.44659735600819,16.611558466461908,68.7427712655453
498.593,1.7209314518708705,1.7209314518708705,1,4.802834719783652,6.4967652095479504,7.127599276625376,23.44659735600819,16.611558466461908,70.27595885262974
498.6,1.7239702787745996,1.7239702787745996,0,4.802834719783652,6.483607036379459,7.120438844508513,23.45297076973688,16.611558466461908,71.80914643971418
